年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
30,5,9～10,現場の駐車場で打ち合わせが終了し、営業乗用車に乗って国道に出ようと発進したとき、駐車場と国道の25㎝くらいの段差に両前輪を落とし、現場にいた職人さんたちと車両を持ち上げた際、腰を痛め第2腰椎圧迫骨折となった。,建設業,建築工事業,建築設備工事業,30～49人,その他,起因物なし,起因物なし,動作の反動、無理な動作,50
30,5,11～12,柵囲いを建設中、木材製柱をチェーンソーで切断時、木材が不安定な所でチェーンソーを使用したため、キックバックを起こして左前腕を負傷した。,建設業,その他の建設業,その他の建設業－その他,1～9人,動力機械,木材加工用機械,チェーンソー,切れ、こすれ,65
30,5,8～9,橋梁建設現場内の緩やかな勾配のある場所で、仮設支柱材を撤去・解体の作業中、誤って支柱間を繋ぐ部材を先に外してしまい単独自立状態となり、1つが倒れ次々に将棋倒しとなり、パネルの間で作業を行っていた被災者が逃げ遅れ、支柱に右足を挟まれ負傷した。,建設業,土木工事業,道路建設工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,支保工,崩壊、倒壊,29
30,5,16～17,草刈り中に転倒し、地面で左脇腹と顎を強打した。,建設業,土木工事業,その他の土木工事業,1～9人,環境等,環境等,その他の環境等,転倒,62
30,5,13～14,立ち入り防止柵取り替え作業を行っていて、木杭の周囲を掘削するため、重機を緑地帯に進入させたが、草が茂っていたため法面の勾配変化に気付かず、重機がバランスを崩し、オペレーターが重機の下敷きになり、左腕を負傷した。,建設業,土木工事業,道路建設工事業,10～29人,動力機械,建設機械等,掘削用機械,転倒,67
30,5,7～8,荷降ろし作業中、トラックよりアンチを降ろす際、手が滑り右足親指にアンチ（1800×400、約12.3㎏）を落とし負傷した。,建設業,土木工事業,その他の土木工事業,1～9人,物質、材料,材料,金属材料,飛来、落下,26
30,5,16～17,修繕工事現場で、サンダーを使用するためコンセントを入れた際、スイッチが入ったままになっていて刃が右手第2指に当たり切り傷を負う。,建設業,建築工事業,木造家屋建築工事業,1～9人,動力機械,木材加工用機械,その他の木材加工用機械,切れ、こすれ,19
30,5,16～17,出店工事に伴う天井板を解体中、同日に上階床のコア抜きをしたコンクリート塊が天井裏に放置したままになっており、コンクリートの塊が右肩に当たり、脚立から落下し右手を怪我した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9人,その他の装置等,用具,はしご等,墜落、転落,46
30,5,7～8,一般道トンネル内で、前方出口付近の事故が原因で渋滞して停車中のトラックに追突した。,建設業,土木工事業,橋梁建設工事業,10～29人,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）,47
30,5,7～8,一般道トンネル内で、前方出口付近の事故が原因で渋滞して停車中のトラックに追突した。,建設業,土木工事業,橋梁建設工事業,10～29人,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）,20
30,5,14～15,塗装工事でサンダーブラシを使って錆落とし作業中、ゴーグルが曇り前が見えにくかったためゴーグルを外して作業を続けたところ、錆の破片とサンダーブラシのワイヤーの一部が飛散し右目球に刺さり負傷した。,建設業,その他の建設業,その他の建設業－その他,1～9人,動力機械,金属加工用機械,研削盤、バフ盤,飛来、落下,62
30,5,11～12,現場で太陽光パネルの設置工事中にパネル固定用金具を入れる際、軒先部分が入れにくかったため屋根に足をかけたところ、沈んでしまい、体勢を崩し2.2m下に転落し、頭蓋骨骨折、左手親指付け根を骨折した。,建設業,その他の建設業,その他の建設業－その他,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落,53
30,5,14～15,ステン谷材料が落下、手に当たり10針の傷を負った。,建設業,建築工事業,木造家屋建築工事業,1～9人,物質、材料,材料,金属材料,飛来、落下,63
30,5,9～10,現場整地前の樹木を切って焼却するときに、丸ノコで切っていたところ、不注意で手が滑って左太ももを切った。,建設業,土木工事業,道路建設工事業,1～9人,動力機械,木材加工用機械,丸のこ盤,切れ、こすれ,64
30,5,16～17,セメントプラント内部の洗浄中にプラント内部に進入した砕石を除去しようと、電源を切らずに内部へ手を入れたところに、回転してきたプロペラに巻き込まれ負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,－,動力機械,建設機械等,基礎工事用機械,はさまれ、巻き込まれ,55
30,5,10～11,備品撤去作業をしているとき、丸型の古い70㎏あるかと思われる室外機を2人で搬出しようとして、持ち上げた際に腰に痛みがあり立っていられなくなった。,建設業,土木工事業,その他の土木工事業,1～9人,荷,荷,機械装置,動作の反動、無理な動作,41
