年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
24,2,1～2,パレットの載せる台に躓き、転倒した,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,その他の装置等,用具,その他の用具,転倒,55
24,2,8～9,倉庫内にて、貨物コンテナの荷物（重量約１．５ｋｇ）をベルトコンベアに流す作業中、腰を痛めた,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,1～9,荷,荷,荷姿のもの,動作の反動無理な動作,43
24,2,16～17,被災者は、接岸中の海上コンテナ本船のデッキ作業に従事していた際、本船ハッチ蓋から本船通路に既設はしご（約１５０ｃｍ）を使用して降りようとしていたところ、上から２段目のバーに足をかけ損ね、通路にそのまま着地し、足首を負傷した。,貨物取扱業,港湾運送業,一般港湾運送業,30～49,その他の装置等,用具,はしご等,墜落・転落,27
24,2,9～10,トラックで鋼材の型鋼を配送し、配達先にて荷卸の作業中、型鋼を吊り上げるためのスリングを通す為、型鋼同士の間に隙間を作ろうと、台木を使ってこじ開けようとしたが、体重をかけた際、腰に激痛が走り、動けなくなった。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,物質、材料,材料,木材、竹材,動作の反動無理な動作,52
24,2,20～21,倉庫プラットホームにて、階段からホーム下に降りようとした際、ホーム上の蛍光灯が点灯していない状態だった為、階段がある位置を見誤り、ホームからホーム下のコンクリートの地面に落下し、肘を強打した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落・転落,36
24,2,16～17,パイプ出庫作業中、トレーラーのカプラー部分から荷台の後方へ移動しようとパイプを握り、反対の手でスタンションボールを掴もうとしたが掴めず、戻ろうとした際、手が外れ、同時に足も滑り転落し、負傷した。,貨物取扱業,港湾運送業,港湾荷役業,50～99,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,53
24,2,12～13,被災者は、指導中の本船の船側で作業に従事していた。貨物が本船クレーンにより揚がってこようとしているのを認め、退避用保護柵から出て岸壁を移動中、後追してきたフォークリフトに接触、転倒し右側後輪で轢かれ、受傷した。,貨物取扱業,港湾運送業,一般港湾運送業,30～49,物上げ装置、運搬機械,動力運搬機,フォークリフト,はさまれ巻き込まれ,53
24,2,10～11,製品梱包作業中に前進してきたリーチ式フォークリフトと、後進で作業していた被災者が、出会い頭で、踵部とリフト前輪が接触。前輪カバー（鉄製）にて打撲、挫創した。リフト操作作業者は、製品の横から出て来た被災者に気付くのが遅れた。又、被災者も後進作業をしていて、気付くのが遅れた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,30
24,2,14～15,コンテナ内からパレットに、中腰で１５キロくらいのカートンに貨物を両手で移動させている際、腰痛を起こした。,貨物取扱業,港湾運送業,一般港湾運送業,1～9,その他,起因物なし,起因物なし,動作の反動無理な動作,34
24,2,7～8,ロッカー室からトイレに自転車で行く途中、道路と側溝の段差（約３ｃｍ）と落ち込み（約１ｃｍ）溝にハンドルを取られ、転倒。原因は、段差、溝及びスピードの出し過ぎによる。ひざしっかい骨の骨折、肩脱臼、手の平裂傷を負った。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,物上げ装置、運搬機械,乗物,その他の乗物,転倒,42
24,3,15～16,船より岸壁の鋼材運搬用台車にクレーンを使用して鋼材を荷降ろし作業中、台車荷台上で玉掛け外し作業を行なっていた作業員が、高さ１．５ｍの台車荷台から転落し負傷した。作業員は台車荷台上にて玉掛けワイヤーを外そうとしたが、ワイヤーが外れない為、目視確認したところ、台木にワイヤーが少しだけ噛んでいたので力を入れて引っ張れば抜けると思い、そのまま引っ張ったところ勢いよく外れ、バランスを崩し荷台の上から地面に転落し肘を強打した。,貨物取扱業,港湾運送業,港湾荷役業,100～299,物上げ装置、運搬機械,動力運搬機,トラック,墜落・転落,21
24,3,8～9,被災者は、積置されているコンテナの扉を開ける作業に従事中、先に左側の扉を開け次に右側の扉を開けていた際、急に突風が吹き、その為、左側の扉（鉄製）が、被災者の肩に強く当り被災した。,貨物取扱業,港湾運送業,港湾荷役業,10～29,荷,荷,荷姿のもの,激突,55
24,3,5～6,車庫構内でトラック運転席より降りる際、足首を捻ってしまい、足関節外果を骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,物上げ装置、運搬機械,動力運搬機,トラック,動作の反動無理な動作,44
24,3,18～19,近くのコンビニエンスストアへ買い物に行き、店から出て帰る際、コンビニ駐車場の駐車車両用の輪止め（コンクリート製）につまずき転倒し、肩鎖関節を脱臼、鎖骨を骨折した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,転倒,57
24,3,15～16,事業場内で商品を棚詰中、横にある荷物を持ち上げようとした際、腰を痛めた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,荷,荷,荷姿のもの,動作の反動無理な動作,41
24,3,11～12,コンパネ等搬入中、朝から雨が降っていたため、コンパネ約４０ｋｇを持ち上げ運ぼうとした際、足を滑らせ、足の上に落としてしまい、親指を痛めた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,物質、材料,材料,木材、竹材,飛来・落下,30
24,3,13～14,倉庫内にて、昼休み終了後、倉庫内詰所から自らの作業場へ向かうため階段を降りている際、誤って足をつまづき、バランスを崩し、頭から転落しそうになった為、手をとっさに出し、そのまま肘を階段部分に強打し、肘を痛めた。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,墜落・転落,44
24,3,9～10,商品の出庫作業中、雨天により靴底が濡れていたことに気がつかず、スリップして前傾した際、商品を守ろうとし肩から床に転倒した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,55
24,3,10～11,鉄道車両の洗浄作業に従事、ゴム手袋を着用しアルカリ性（ｐＨ１２．５）の洗浄剤で車両を洗浄していた。その際、ゴム手袋の親指部分に小さな穴が開いており、そこからアルカリ性の洗浄剤が進入して化学火傷を負った。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,物質、材料,危険物、有害物等,その他の危険物、有害物等,有害物との接触,64
24,3,18～19,フォークリフトで荷物を搬出する際、荷物が崩れないよう荷物を手で押さえて補助をしていた。フォークリフトが左に旋回し、フォークリフトの動きにあわせて左前に移動、フォークリフトが前進したところ、死角になった左前のタイヤに足を挟み負傷した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,50～99,物上げ装置、運搬機械,動力運搬機,フォークリフト,はさまれ巻き込まれ,35
24,3,7～8,駐車場にて、作業道具を手に持ち事務所へ向かう途中、路面が圧雪凍結していたため、すり足で歩いていたが、片足が滑った際バランスを崩し、仰向けの状態で転倒し、路面に背中や頭等を強打した。,貨物取扱業,港湾運送業,港湾荷役業,50～99,環境等,環境等,その他の環境等,転倒,68
24,3,8～9,ハンドリフトで備品運搬中、倉庫内スロープで転倒。膝を打撲した。,貨物取扱業,陸上貨物取扱業,陸上貨物取扱業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,32
