年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型
H23,9,8～9,"被災者を含む労働者３名は、別荘地内の下草刈を行うため刈払機を用いて作業を開始した。その後、被災者は５０ｍ程離れた場所で作業をしていた同僚の方に近づいていて行った。その時、同僚がズメバチの巣に遭遇して驚き、持っていた刈払機を振り上げた瞬間、同僚の左背後にまで接近していた被災者の右頚部に回転歯が接触し、頚部切創により死亡したもの。

",その他の事業,その他の事業,その他の事業-その他,0～9,動力機械,一般動力機械,その他の一般動力機械,切れ、こすれ
H23,7,13～14,"午前１１時頃から食品工業内でフォークリフトを使用しトラックにフレコンバックの荷積み作業を行っていたが、午後１時半頃トラック運転席で具合の悪そうにしている被災者がいた。この時「頭が痛く、真っ白になった」と話しており、その後同僚が迎えにきて会社に戻って自宅に送り届けた。しかし翌朝、家族が口周辺に血が広がって意識のない被災者を発見したもの。その後病院へ搬送されるも様態が悪化し、８月２５日死亡した。
",運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,その他,分類不能,分類不能,分類不能
H23,6,6～7,"被災者は午前３時４０分頃に土曜日に取引先で荷積み（電炉灰）を終えていた大型トレーラーに乗車し、町内にある事業場から納入先である精錬所に向け出庫した。出庫後、休憩を経て運転を再開し、午前６時３５分頃に発生現場に差し掛かった際に、対向車と衝突したもので、その際に頭部を強打し死亡したもの。
",運輸交通業,道路貨物運送業,特定貨物自動車運送業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,5,14～15,"荷物用エレベーターの定期補修において、ワイヤーロープの交換作業を３名で搬器上で行っていた。５本のワイヤーロープのうち２本が終了し、３本目の作業を行っていた際に搬器上から約３５ｍ下のカウンターウェイト上に墜落し、死亡したもの。
",建設業,その他の建設業,機械器具設置工事業,30～49,物上げ装置、運搬機械,動力クレーン等,エレベータ、リフト,墜落、転落
H23,5,10～11,"被災者は、工場の屋根の樋の清掃作業中に、屋根のスレート板及びガラス板を踏み抜き、約１４ｍ下のコンクリート床面に墜落し死亡したもの。
",製造業,金属製品製造業,めっき業,50～99,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H23,5,13～14,"被災者は、鉄骨造の建築物のはりの塗装作業中に、はりの上から墜落（高さ約７ｍ／目撃者なし）したものと推定され、死亡したもの。
",建設業,建築工事業,その他の建築工事業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H23,4,11～12,"棚卸作業において廃車部品の重量を計量するため、フォークリフトのフォークにフレコン（約３０キログラム）をつり下げ運搬し台貫で計量した。この時次に台貫を使用する業者が待機していたため、急ぎ荷を元の位置に戻すべく、後進し方向転換をしたとき、フォークリフトが転倒し運転していた被災者がその下敷きとなって死亡したもの。
",製造業,鉄鋼業,鋳物業,100～299,物上げ装置、運搬機械,動力運搬機,フォークリフト,転倒
H23,4,10～11,"住宅団地の住宅建設工事において、目撃者がなく不明であるが、先行足場の設置中、足場内側から墜落（約４メートル）したものと思料され、首の骨を骨折し病院に搬送され重体であったが、事故から１１日後の平成２３年５月６日に死亡したもの。
",建設業,建築工事業,建築設備工事業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落
H23,4,16～17,"太陽光パネルの設置工事に伴い欠けた屋根瓦の撤去作業中、被災者が、高さ３メートル程のはしご中段まで登り、屋根上で作業を行っていた者に声をかけた後、地面に降りる途中で何らかの原因ではしごから転落した。被災者は、左側頭部を強打し、４月２８日、急性硬膜下血腫で死亡した。
",建設業,建築工事業,その他の建築工事業,10～29,その他の装置等,用具,はしご等,墜落、転落
H23,4,15～16,"被災労働者は震災で破損した倉庫側壁の補修を行うため、昇降設備を使用せず自動倉庫のラックを上ろうとしたところ約５ｍ下のコンクリート床面に墜落し死亡したもの。
",建設業,その他の建設業,その他の建設業-その他,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H23,2,9～10,"ゴルフ倶楽部コース１番ホールにて、被災者はアカマツの剪定作業のため、三脚脚立を使い幹に登り枝上を移動しながら枝を切り落としていたところ、地上高さ６．５５ｍの枝（推定位置）から地面に墜落し死亡したもの。
",農林業,農業,農業,0～9,環境等,環境等,立木等,墜落、転落
H23,1,14～15,"幼稚園での公演が終了し、軽自動車を運転して、事業場に戻っていたところ、国道上にて、対向車線にはみ出し、対向車線を走行していたトレーラの側面に激突したもの。病院へ搬送されたが、８日後の１月２８日、脳挫傷等により死亡した。
",映画・演劇業,映画・演劇業,その他の映画・演劇業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H23,12,14～15,"受電設備から新設工場へ電線を引き込むため、ケーブルラックの取付を被災者１名で高所作業車を使用しながら行い、作業床を高さ約４．８ｍのまま次の位置まで移動したところ、ケーブルラック基礎部分に乗り上げ、高所作業車ごと転倒し、建屋壁に頭部を激突させ、被災日翌日の午前５時４８分に、脳挫傷及び硬膜下血腫により死亡した。
",建設業,その他の建設業,電気通信工事業,0～9,動力機械,建設機械等,高所作業車,転倒
H23,9,18～19,"被災者は３階建てフェノール樹脂製造棟の屋根にある天窓（たて１ｍ×横１ｍ）のガラス（厚さ１０ｍｍ）を踏み抜き、約１０ｍ下の３階床に墜落し、脳挫傷により、９月２３日１４時２０分に収容先の病院で死亡した。
",製造業,化学工業,無機・有機化学工業製品製造業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H23,4,8～9,"デイサービス施設のワゴン車（運転手と施設職員一名）が施設利用者一名を乗せて、上信電鉄の白髭踏切を通行しようとした際に走行してきた下り電車と衝突し、施設職員と施設利用者が全身打撲で死亡したもの。ワゴン車の運転手は軽傷で電車の運転士、乗客にケガはなかった。踏切は見通しが悪く、遮断機、警報器が設置されていない場所である。
",保健衛生業,社会福祉施設,社会福祉施設,30～49,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（その他）
H23,4,14～15,"被災者は鶏舎で鶏糞処理を行っていたところ、上着が集卵機と集卵機の間にある、集卵機の動力伝達シャフトに引っかかり、そのまま巻き込まれ、上着が首を締め付けるように圧迫し、死亡した。
",畜産・水産業,畜産業,畜産業,10～29,動力機械,動力伝導機構,動力伝導機構,はさまれ、巻き込まれ
H23,2,4～5,"被災者は４ｔトラック（保冷車）で生洋菓子を愛知県内の物流センターに配送する業務に従事していた。中央自動車道下り線を走行中、「くも膜下出血」を発症し、同道路を走行する車両と接触した。　病院に搬送されたものの平成２３年３月１４日１６時３８分に死亡したもの。
",運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,その他,分類不能,分類不能,その他
H23,2,11～12,"倉庫改修工事において、スレート屋根の撤去作業中、作業床として使用していたアルミ製道板（幅：２５ｃｍ・長さ：２ｍ）を盛り替えようとしたところ、誤ってスレート屋根に足を着いたため、踏み抜き、高さ３．９２ｍからコンクリート床に墜落し、直ちに病院に搬送されたが、平成２３年２月２６日午後０時５２分に死亡した。
",建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H23,1,10～11,"光ファイバーにかかる電柱の設備工事のため、被災者は労働者Ａ、Ｂと共に、傾斜５～６度の道路脇に高所作業車を止め、車止めをタイヤ４つ全てに置き、アウトリガーを張り出し、作業を開始しようとしていたところ、高所作業車が雪で滑りだしたため、被災者と労働者Ａが２人で高所作業車を人力で止めようとしたところ、被災者が雪で滑って高所作業車の下面と地面の間に挟まれ、頭部陥没のため死亡したもの。
",建設業,その他の建設業,電気通信工事業,0～9,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,はさまれ、巻き込まれ
H23,10,5～6,３ｔトラックに住宅用壁面パネルを積み、午前５時１５分頃に営業所を出発し走行中、積み荷が崩れそうになったため、路肩に停車させ、積み直しを行おうとしたところ、積んであった積荷（４００Kg)が被災者の頭部に落下し、負傷した。直ちに病院に搬送したが、午前８時１５分に脳挫傷で死亡した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,荷,荷,荷姿の物,飛来・落下
H23,12,16～17,鉄骨造平屋建て建屋の改修工事において、鉄骨の塗装作業を２名で行っていた。建屋の外部と内部に足場を組み、これに上がって作業を進めていた。１名が作業していたところ、背後で「ドサッ」という音がし、振り返ると被災者が地面に倒れていた。救急車が到着した時点で心肺停止の状態で、２日後の２６日に搬送先の病院で死亡が確認された。,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落
H23,12,9～10,森林管理道開設工事現場において、山側斜面補強のためのコンクリート擁壁を設置するため、元請現場代理人及び下請作業員３名の計４名により、前日までに掘削した掘削溝でコンクリート壁の設置作業を行っていたところ、山側法面が高さ約１２メートル、幅約１３メートルにわたって崩壊し、掘削溝内（深さ約２メートル）で作業をしていた３名が土砂に生き埋めになったもの。,建設業,土木工事業,道路建設工事業,10～29,環境等,環境等,地山、岩石,崩壊、倒壊
H23,12,3～4,５０ｃｃのスクーターに乗って朝刊を配達中、県道へ出る道（車線の無い細い道）から県道（片側一車線。法定速度４０ｋｍ）に入って右へ曲がった直後、県道を走っていた乗用車（トヨタサーフ）に後ろから追突されたもの。県道へ出る道と県道はＴ字路をなしていた。県道へ出る道には一時停止の標識が有ったが、Ｔ字路には信号は無かった。,商業,小売業,新聞販売業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H23,12,17～18,配達中Ｔ字路に於いて車両（郵送用バイク）から投げ出された所に１０トンミキサー車が直進、轢かれたもの。投げ出された原因については警察にて捜査中（加害者は身柄拘束中）転倒したバイク近くに緑石があった。,通信業,通信業,通信業,300～,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,12,15～16,スタッカークレーンの異常を知らせるブザーを聞いて第一発見者が、地下１階に行ったところ、当該クレーンの運転席下部に挟まれている被災者を発見したもの。,商業,その他の商業,倉庫業,100～299,仮設物、建築物、構築物等,仮設物、建築物、構築物等,開口部,墜落、転落
H23,12,4～5,被災者の運転するトラック（４ｔ）が、追い越し車線から走行車線に車線変更した際、走行車線側のガードレールに接触、その後前方の車両に追突したため、その場に停車。　携帯電話で事故の報告をした後、トラックを路肩に移動しようと乗り込んだ直後、後方から走ってきた車両がトラックに追突し、被災者はフロントガラスに頭を強打し、即死したもの。,映画・演劇業,映画・演劇業,映画製作・配給業,0～9,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,12,10～11,川に面した水管用の橋台（橋座部）コンクリート打設時、コンクリートの気泡を取るために足場（手すり無し）上で型枠を木槌でたたいている時、橋座部の型枠の底の部分が崩落。それに伴い型枠、パイプサポート等が労働者に激突、川の側面に一度墜落（高さ２メートル６２センチ）した後、川に転落した（１１５センチ）３週間後の２２日に骨折、脳炎等の諸症状により死亡した。,建設業,土木工事業,河川土木工事業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,支保工,崩壊、倒壊
H23,10,2～3,片側２車線の国道の走行車線において、事業場に戻る途中の被災者が運転する２トントラックが信号待ちをしていた１５トントラックに追突し、胸部を打った被災者が同日死亡した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,10,12～13,被災者は、配達のため原動機付き自転車を運転中、道幅３．９ｍ、緩い下り坂の左カーブ（中央線なし）において、坂を登ってきた対向車（１０ｔトラック）と正面衝突し、頭部等全身を強打して約６時間後に死亡したもの。,通信業,通信業,通信業,100～299,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,10,11～12,個人住宅の地盤改良工事現場で、被災者が一人でドラグショベルを使用して残土をダンプトラックの荷台に積み込む作業を行っていたところ、ダンプトラックの後部とドラグショベルの車体に胸部を挟まれ死亡したもの。　発見時、ドラグショベルのエンジンは起動したままで、クローラー部分が駆動していた。,建設業,土木工事業,その他の土木工事業,50～99,動力機械,建設機械等,掘削用機械,はさまれ、巻き込まれ
H23,9,6～7,トラックで市内に在する建設現場へ建設資材を配送に行き、当該建設現場付近の市道上で待機中、車外にて他社運転手と会話していたところ、通り掛かった軽自動車にはねられたもの。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,30～49,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H23,8,15～16,壁面のＡＬＣボードの取り外し作業の後、Ｈ鋼の枠により自立していた鉄製の開閉扉の固定状態（上部Ｈ綱溶接不十分）が不安定であり、また下部溶接部も簡易なもので経年劣化していたため、４人の人力により早急に取り外しを行おうと、２人が枠組みの両脇を支え、１名が徐々に力を加え枠組みごと溶接部より切り離し体育館床に押倒そうと降下させていたところ、急に下部溶接部が切り離れ、反対側で支えていた労働者の上に崩落したもの,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊、倒壊
H23,8,13～14,残土処理場において、軽自動車の車内で休憩中であった被災者が、口から泡を吹いて意識不明の状態で発見されたが、その後死亡が確認されたもの。,その他の事業,その他の事業,警備業,10～29,環境等,環境等,高温・低温環境,高温・低温の物との接触
H23,7,16～17,被災者は、はしご兼脚立をはしごとして使用し、そのはしごを足場に、自家発電装置の外壁に取り付けられていたその付属部品をガス溶断して取り外す作業を行っていた。外壁と付属部品を固定していたＬ字アングルや配管を溶断していた際に、付属部品が溶断途中の配管を中心に回転し、被災者に向かってきた。被災者とはしごが先に地面に墜落し、仰向けに倒れていた被災者の胸部に付属部品が落下激突したもの。,商業,卸売業,その他の卸売業,0～9,その他の装置等,その他の装置、設備,その他の装置、設備,飛来、落下
H23,7,19～20,現場作業を終え、帰社するのに普通貨物自動車へ同僚らと乗り、高速自動車道内に落下物があったため急ハンドルを左に切ったところ、壁面と接触、あわてて右に切ったところ車両が横転し後部座席にいた被災者が車外へと放り出され胸部を打ち、死亡したもの。,建設業,その他の建設業,電気通信工事業,0～9,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H23,7,14～15,高速道路舗装工事の準備中、コーンで仕切られた工事帯内においてバックをしていた標識車両に、同工事区域の警備員である被災者が接触転倒、胸部を轢かれ搬送先の病院で死亡が確認されたもの。,その他の事業,その他の事業,警備業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,激突され
H23,7,23～0,国道をトラックで走行中、車両故障のために停車していた大型トレーラーに追突し、外傷性ショックで死亡したもの。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,50～99,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,7,9～10,平成２３年７月１２日９時４５分頃、被災者は２連はしごを使用して、フェンス設置工事に付随した庭木の剪定作業に従事していた際、当該はしごの踏さんから道路のアスファルト上に墜落したものである。被災時被災者の作業を目撃した者はいなかったが剪定した木の幹の高さ、被災者の身長から推定するに被災者は高さ２．４５メートルの位置の踏さん上で剪定を行っている際にはしごから墜落したものと思われる,建設業,建築工事業,その他の建築工事業,0～9,その他の装置等,用具,はしご等,墜落、転落
H23,7,17～18,被災者は、災害発生時、プレス機で空き缶をつぶす作業に従事していたが、空き缶をプレス機に投入するために使用していたフォークリフトのマストとプレス機の壁の間に挟まれて死亡していたものである。,製造業,金属製品製造業,その他の金属製品製造業,0～9,物上げ装置、運搬機械,動力運搬機,フォークリフト,はさまれ、巻き込まれ
H23,7,5～6,トンネル内（下り線、トンネルから約５．８キロメートル地点）を走行していた２トン保冷車が、前方を走っていた１０トンダンプに追突し、保冷車を運転していた被災者が出血性ショックにより死亡したもの。,製造業,食料品製造業,肉製品、乳製品製造業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,7,6～7,配送先に向かう途中、片側２車線の国道上で被災者の運転するトラック（４トン車）がエンストしたため、レッカー車の到着を待っていたところ、大型トラックに追突され、頚部等を負傷し、同日死亡した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,6,8～9,けん引用動力運搬機の定期自主点検のため、同運搬機で工場２階通路を走行し、下階に降ろすエレベーターに向かうところで、何らかの原因によりエレベーターの扉を突き破りエレベーター箱上に転落、その際に頭を強く打ち死亡したもの。,製造業,輸送用機械等製造業,自動車・同付属品製造業,300～,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,墜落、転落
H23,6,17～18,屋外で不燃物から資源ごみを拾い上げる作業をしていた被災者が、終業直後、事業場の休憩室で体がふらつき、体調が悪い様子であったため、他の従業員が被災者を車で被災者の自宅まで送り届けたところ、被災者が自宅玄関で倒れてしまったため、救急車で病院に搬送され医師の診断を受けたところ、熱中症と診断され入院した。被災者の容体は当初、小康状態であったが、容体が急変し翌日の午前０時３０分に死亡が確認されたもの,清掃・と畜業,清掃・と畜業,その他の廃棄物処理業,10～29,環境等,環境等,高温・低温環境,高温・低温の物との接触
H23,6,8～7,出張の為、自宅から自転車で駅に向かう途中。信号機のない交差点で、軽自動車と出合い頭に衝突し、数メートル飛ばされ向い側の塀に激突。頭部と胸部を強打し、直ちに救急病院に搬送されたが翌日の６月２２日１５時３０分に死亡が確認された。なお、道路幅は約４メートルで、相手車両の走行道路は一方通行であった。,商業,卸売業,その他の卸売業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H23,6,13～14,１階の作業が一段落ついた被災者は、屋上で作業している同僚を手伝おうと事前に同僚へ声掛けしようとしたが、１階からでは屋上へ声が届かないため、４階踊場に設置した昇降設備（脚立にハシゴを取り付けたもの）を使用し昇降中、身体のバランスが崩れ、その反動で脚立が倒れて転落したもの。現認者がいないので詳細は不明。,清掃・と畜業,清掃・と畜業,ビルメンテナンス業,0～9,その他の装置等,用具,はしご等,墜落、転落
H23,5,3～4,３ｔ積トラックに荷を積んで、自社へ向けて高速自動車道上り線を走行中、ＰＡの進入路に入ったところ、進入路の右路肩に駐車中の大型トラックに追突したもの。　（追突された側の大型トラックは、当時、混雑のためＰＡ内に入れず進入路の右路側帯に駐車中であった。）,運輸交通業,道路貨物運送業,一般貨物自動車運送業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H23,5,15～16,被災者は、横型単動油圧押出プレス機械（３２００ｔ）設備内において作業を行っていた。オペレーターが、設備内に被災者がいることを認識しておらず、機械を起動させたところ、被災者が機械のスライド部分に挟まれ被災したもの。,製造業,非鉄金属製造業,非鉄金属精錬・圧延業,100～299,動力機械,一般動力機械,射出成型機,はさまれ、巻き込まれ
H23,5,13～14,被災者は、バケットを取り付けたフォークリフト（最大荷重１．８ｔ）をエンジンがかかったまま停車させ、付近の材料置き場にいたところ、フォークリフトが横転し、バックレストの下敷きになったもの。　被災者が運転していたフォークリフトのバケットには、チェーンフックにより荷（重量１５０ｋｇ）が吊られている状態であった。　被災者は災害当日、病院で死亡が確認された。,製造業,鉄鋼業,鋳物業,10～29,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され
H23,4,9～10,資材置場のテント製倉庫の屋根に穴があいていたため、被災者が単独で修理を行おうとテント製の屋根（高さ３．６６メートル）の上に上がったところ、屋根を破って床（コンクリート製）に落ち、災害発生日の翌日に死亡したもの。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H23,4,14～15,配水小管移設工事現場において、重機置場から工事帯に油圧ショベルを移動させる際、誘導のために油圧ショベルのあとを追ったところ、油圧ショベルがバックしたために被災者を轢いてしまったもの。,その他の事業,その他の事業,警備業,30～49,動力機械,建設機械等,掘削用機械,はさまれ、巻き込まれ
H23,3,8～7,配送センターにて積載荷重３．３トンの箱型トラック（ウイング車）に荷を積み終わったのでフォークリフトの運転者が地上からあおりが閉まるか確認後、あおりを下ろしたとき、荷台上で荷崩れ防止のためベニヤ板で固定をしていた運転手があおりにもたれかかるようにして前向きに地上から高さ１メートルの荷台からアスファルト舗装上に墜落し頭部を打撲した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,0～9,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H23,3,9～10,伐採した枝の片付け作業を命じられた被災者が、コンクリート擁壁上で付近に落ちている枝を集めていたところ、約４メートル下の町道に墜落し、死亡したもの。,接客娯楽業,旅館業,旅館業,50～99,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H23,3,14～15,出張先のサイクルスポーツセンター内のコースにてオートバイのテスト走行を行っている時、左カーブを曲がるとき後輪がスリップし転倒して左肩鎖骨を骨折した。病院にて治療後帰宅し、３月７日に出勤して災害の報告後、３月８日に久喜市の蓮江病院に入院し、３月９日骨折の手術中に死亡した。,教育・研究業,教育・研究業,その他の教育研究業,300～,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,転倒
H23,2,13～14,建物の外壁補修工事中、高さ３．７８メートルの足場の作業床（幅２５センチメートル）から地面に墜落し治療中であったが、平成２３年２月２７日、重症頭部外傷により死亡したもの。作業床はブラケット足場で、手すりはあったが中さん等が設けられておらず、ネットの緊結も不十分であったため足場の外側に墜落した。被災労働者はヘルメット及び安全帯を着用していなかった。,建設業,建築工事業,その他の建築工事業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,墜落、転落
H23,2,12～13,投入コンベア（リフター）の油圧ユニットの電磁弁交換作業を一人で行っていた。うめき声を聞いた同僚１名が近づいたところ、被災者が投入コンベアと床に胴体を挟まれた状態であった。,製造業,その他の製造業,クリ-ニング業,50～99,物上げ装置、運搬機械,動力クレーン等,エレベータ、リフト,はさまれ、巻き込まれ
H23,2,9～10,民家の庭木剪定作業において、被災者は三脚（高さ３．５ｍ）を用いて樹木を剪定していたところ、第三者の運転する小型ショベルローダーが三脚に接触し、その衝撃でバランスを崩して地面に墜落、頭部を強打したもの。墜落した高さは、樹木の剪定状況から、１．５ｍ程度と推定される。,農林業,農業,農業,0～9,物上げ装置、運搬機械,動力運搬機,ローダー,激突され
H23,2,10～11,倉庫スレート屋根塗装工事において、被災者が休憩のために作業場所から昇降設備（はしご）まで屋根上を移動中、スレート屋根を踏み抜き、約７メートル下の地面まで墜落したもの。,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H23,1,14～15,自動販売機（重量約２６０キログラム）の保管のために、フォークリフト（許容荷重１．１トン）を用いて運搬し、保管場所に設置し終えた自動販売機が倒れ、自動販売機とフォークリフトとの間にはさまれて死亡したもの。,商業,卸売業,その他の卸売業,50～99,荷,荷,機械装置,崩壊、倒壊
H23,1,12～13,営業活動のため、社有車にて支店を出発し、得意先へ向い運転走行中、右折のため停車している前車両を追い越す際、対向車線にはみ出し、対向車線より直進してきた中型トラックを正面衝突したもの。,商業,卸売業,その他の卸売業,50～99,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H23,1,9～10,給食運搬用の簡易リフト修繕作業中、搬器の上部で、修繕箇所の確認をした後、搬器上から２階フロアーに降りようとしたところ、搬器が上昇し、胸部を簡易リフトの扉と搬器に挟まれた。意識不明であったが、病院搬送後死亡した。,商業,その他の商業,その他の商業-その他,10～29,物上げ装置、運搬機械,動力クレーン等,エレベータ、リフト,はさまれ、巻き込まれ
H23,4,5～6,東日本大震災に伴う配置転換で比較的不慣れな地域、業務を命ぜられ、心理的負荷が増していたところに、過重労働基準を超える長時間労働が相次ぎ、自殺に至ったもの。（自動車内での一酸化炭素中毒事故（推定）,運輸交通業,道路貨物運送業,一般貨物自動車運送業,50～99,その他,起因物なし,起因物なし,その他
H23,11,16～17,工場建屋内のピット床面から６ｍ上方に据え付けられた製品として製作中のコンプレッサーの性能確認テストのため、当該コンプレッサーの下部の鉛直方向にテスト用送風配管（φ２ｍ×　Ｌ４ｍ）を取り付ける作業の一環として、取り付け箇所に足場を組み立てていた際に、足場上方２ｍのコンプレッサーの架台から足場に降りようとした被災者が足場上に転落し、そのはずみで、足場の端の開口部から、６ｍ下方のピット床面に墜落した。,製造業,一般機械器具製造業,機械（精密機械を除く）器具製造業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落
H23,11,14～15,庭園管理業務において脚立に上りクロマツの枝の剪定作業を行っていたところ作業位置から地上に墜落し被災したもの。災害発生時に被災者の作業位置を現認していた者はいないが、枝の剪定箇所から被災者は地上からの高さ１７３ｃｍの位置にある脚立の踏み面に足を置き作業従事していたものと推定される。災害発生時に脚立はトンボ２本により固定されており転位等認められなかった。被災者は、安全帯、保護帽を着用していなかった。,建設業,土木工事業,その他の土木工事業,0～9,その他の装置等,用具,はしご等,墜落、転落
H23,11,2～3,被災者はバイクに乗車して新聞の朝刊を配達しながら県道を走行していたところ、後方から追い越そうと走行してきた乗用車に激突されたもの。,商業,小売業,新聞販売業,10～29,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H23,10,13～14,足場材の資材置場にて、積載型トラッククレーン（つり上げ荷重２．９３ｔ）を使用し、結束された足場材６０枚（８３５ｋｇ）をトラックの荷台から降ろす際にトラックのタイヤが浮き、ゆっくりと転倒した。　なお、転倒した際に５段ブームのうち、４段ブームが被災者の脊髄を押すように激突した。,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,0～9,物上げ装置、運搬機械,動力クレーン等,移動式クレーン,激突され
H23,10,13～14,台風１５号により屋根の損傷が生じ、その復旧工事作業中の災害。損傷した屋根材を撤去し、撤去後の梁上での作業中に墜落。地上から梁上までの高さは約５．５ｍ。,建設業,建築工事業,鉄骨・鉄筋コンクリ-ト造家屋建築工事業,0～9,仮設物、建築物、構築物等,仮設物、建築物、構築物等,屋根、はり、もや、けた、合掌,墜落、転落
H23,10,0～1,平成２３年１０月４日午前０時４０分ごろ、地方卸売市場南部市場内において、大型トラック（ウイング車、１１トン）の荷の積卸作業を行っていたトラックの運転手が、トラック荷台の下で、意識不明の状態で倒れているところを発見された。その後、病院に搬送された被災者は処置を受けるも、平成２３年１０月１５日午前１０時２７分に脳挫傷により死亡した。なお、災害発生時の現認者はいない。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落
H23,9,14～15,製銑工場の高炉に原料を投入するベルトコンベアーのギャラリー（四方を屋根・壁で囲む構造物）の波板の補修作業中、５名がギャラリー上の作業台車に乗って高炉方向に移動していたところ、台車を動かすウインチのモーターのケーシングが破断してモーターのシャフトが外れたため、台車が自重で自走（降下）し、約１３０メートル下方にあるベルトコンベアーのエンドストッパーに激突した。,建設業,建築工事業,建築設備工事業,0～9,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,激突
H23,9,11～12,保育園の運動会を市立小学校で行っていたところ、保育士（２２歳）が気分が悪くなり、午前１１時４０分頃、救急車を要請し病院へ搬送される。午後２時１０分頃、収容先の病院で熱中症により死亡した。,保健衛生業,社会福祉施設,社会福祉施設,10～29,環境等,環境等,高温・低温環境,高温・低温の物との接触
