年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢,年代
H25,10,15～16,昇降板を切断する際、誤って手首をを切断した。,製造業,化学工業,プラスチック製品製造業,10～29人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,47,40代
H25,10,11～12,海外研修中、薬品倉庫の棚(高さ1.5m)の上から降りる際、下に置いてあった台車(高さ1.2m)に足を乗せたところ、台車が後方に移動しバランスを崩し、転倒。台車の角で脇腹を強打した。,製造業,金属製品製造業,めっき業,300～499人,その他の装置等,人力機械工具等,人力運搬機,転倒,26,20代
H25,10,16～17,清掃中、雨漏りによってできていた水溜りで足を滑らせ、転倒した。,製造業,金属製品製造業,めっき業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,転倒,63,60代以上
H25,10,3～4,熱処理室から食材移動のため盛付室に入った際、床の清掃直後でモップの水拭き箇所が部分的に濡れていた為、足を滑らせ、転倒した。,製造業,食料品製造業,その他の食料品製造業,300～499人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,21,20代
H25,10,14～15,椅子に座りプレス加工作業中、安全機光線の下から治具内に手を置いたまま、起動スイッチ(フート式)を押した為、手指をを金型内に挟まれた。,製造業,金属製品製造業,金属プレス製品製造業,30～49人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,31,30代
H25,10,8～9,製品製造中、サンプル口側を開け採取する手順になっていたところ、ダブルコックを両方とも開けた状態でサンプル口を番線で突いた為、製品が落下し、足に当たった。,製造業,化学工業,無機・有機化学工業製品製造業,30～49人,物質、材料,材料,その他の材料,高温・低温の物との接触,30,30代
H25,10,14～15,ダイヤ板にボール盤で空気孔を突ける作業中、キリが停止しない内に誤ってキリ粉を取ろうとした為、手袋が巻き込まれ、腕を負傷した。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,動力機械,金属加工用機械,ボール盤、フライス盤,はさまれ、巻き込まれ,22,20代
H25,10,16～17,車両への鉄骨積込作業中、鉄骨のバランスが崩れ、足に落下した。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,物質、材料,材料,金属材料,飛来、落下,51,50代
H25,10,5～6,自動車部品ブラケットをプレス機で製作中、片手で材料を入れ、もう一方の手で製品を取り出していた際、プレス機の上型金型のボルトが外れ、上型金型(30cmx50cm、重さ約20kg)が高さ30cmから落下し、手が上型と下型の間に挟み込まれた。,製造業,輸送用機械等製造業,自動車・同付属品製造業,30～49人,動力機械,金属加工用機械,プレス機械,飛来、落下,28,20代
H25,10,10～11,ミンチ材をチョッピングしている際、ミートチョッパーに原料を投入操作中、スイッチを切り、中にたまったミンチ材を掻き出そうとした際、完全に機械が停止していなかった為、手を巻き込まれた。,製造業,食料品製造業,肉製品、乳製品製造業,50～99人,動力機械,一般動力機械,食品加工用機械,はさまれ、巻き込まれ,39,30代
H25,10,10～11,機器の数値を確認し記録後、点検表を持って階段を下りた際、足を踏み外し、階段の角に踵が当たり、負傷した。,製造業,食料品製造業,その他の食料品製造業,30～49人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,墜落、転落,35,30代
H25,10,8～9,リール(800kg)を手動で移動中、バランスをくずし、足上に落下させた。,製造業,金属製品製造業,ねじ等製造業,1～9人,物質、材料,材料,金属材料,崩壊、倒壊,33,30代
H25,10,15～16,研磨機でゴム製品の研磨作業中、回転しているシャフトに手袋を巻き込まれ、負傷した。,製造業,化学工業,ゴム製品製造業,10～29人,動力機械,動力伝導機構,その他の動力伝導機構,はさまれ、巻き込まれ,36,30代
H25,10,11～12,鋳造機械のメンテナンス作業中、停止せずに機械の中で作業をしていた為、給湯器が動き出し、耳、肩に溶けたアルミがかかった。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,物質、材料,危険物、有害物等,その他の危険物、有害物等,高温・低温の物との接触,36,30代
H25,10,23～24,工場内にて、2階から1階に降りる際、階段の上から2段目で誤って足を捻った。,製造業,一般機械器具製造業,その他の精密機械器具製造業,10～29人,その他,起因物なし,起因物なし,動作の反動、無理な動作,21,20代
H25,10,13～14,パケットに残った製品を除去している際、同僚が誤って機械を運転した為、プッシャーが動き、手を負傷した。,製造業,食料品製造業,パン、菓子製造業,100～299人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,48,40代
H25,10,14～15,ガス切断器を安全帯付ポシェットに入れ、梯子を下りていたところ、バランスを崩して、ホールド上に転落し、足を負傷した。,製造業,輸送用機械等製造業,造船業,1000～9999人,その他の装置等,用具,はしご等,墜落、転落,34,30代
H25,10,19～20,型へワイヤー掛けをして吊り上げを実施した際、振れを止めようと手で型を抑えたところ、手中指を負傷した。,製造業,輸送用機械等製造業,自動車・同付属品製造業,100～299人,物上げ装置、運搬機械,動力クレーン等,クレーン,はさまれ、巻き込まれ,33,30代
H25,10,11～12,仕込み作業中、大根を半分に切ろうとした際、包丁で手人指し指を切傷した。,製造業,食料品製造業,その他の食料品製造業,10～29人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,38,30代
H25,10,9～10,氷の入った水槽(700x1500x700)を2人で後方へ引きながら移動させていたところ、誤って水槽の下部の凹部分に足を挟まれた。,製造業,食料品製造業,水産食料品製造業,50～99人,その他の装置等,その他の装置、設備,その他の装置、設備,はさまれ、巻き込まれ,24,20代
H25,10,13～14,おにぎり製造ラインの自動包装機フィルム接続装置にて、外装フィルムを繋ぎ合せる為の準備中、接続テープをフィルムに貼り付ける際、誤って接続装置のゴムローラーにゴム手袋が巻き込まれ、手親指から中指までがローラー間に挟まれた。,製造業,食料品製造業,その他の食料品製造業,50～99人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,18,10代以下
H25,10,15～16,作業の移動中、段差(電源用カバー)で躓き、足を捻挫した。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,その他の装置等,電気設備,その他の電気設備,転倒,38,30代
H25,10,8～9,鉄骨溶接作業中、鉄骨柱をクレーンで釣り上げ、移動している際、工場内に置いてあった鉄骨(高さ約1m)を乗り越えようとたところ、足を滑らせ転倒。手を地面に着き、手首を骨折した。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,物質、材料,材料,金属材料,墜落、転落,38,30代
H25,10,16～17,バスケットの位置を直すため、総重量48.5kgのバスケットを手前に引張った際、肋骨骨折した。,製造業,輸送用機械等製造業,自動車・同付属品製造業,100～299人,物質、材料,材料,金属材料,動作の反動、無理な動作,35,30代
H25,10,16～17,記載無し,製造業,金属製品製造業,その他の金属製品製造業,50～99人,物質、材料,材料,金属材料,動作の反動、無理な動作,22,20代
H25,10,21～22,牽引台車のパレットに出荷品荷揃え後、荷崩れ防止の紐巻き作業を行う為、台車連結部を跨いだ際、連結部に足をぶつけ、バランスを崩し転倒し、肘を床面に打ち、骨折した。,製造業,輸送用機械等製造業,自動車・同付属品製造業,100～299人,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,転倒,21,20代
H25,10,15～16,石を吊り移動中、足元がぬかるんでいた為、足を滑らせ、転倒し、落ちていた石に脇を強打した。,製造業,窯業土石製品製造業,その他の土石製品製造業,1～9人,環境等,環境等,その他の環境等,転倒,45,40代
H25,10,9～10,記載無し,製造業,食料品製造業,パン、菓子製造業,100～299人,荷,荷,荷姿の物,激突され,60,60代以上
H25,10,9～10,鉄製パレットから下へ降りようとした際、パレット下からはみ出していた紙管を踏んだ為、足を捻り、足小指付け根を骨折した。,製造業,繊維工業,その他の繊維工業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,墜落、転落,45,40代
H25,10,17～18,ピッキング作業中、メタルラックに商品を載せて移動していたところ、メタルラックのタイヤが1ケ所外れ、メタルラックが傾いたため、手でメタルラックの棚部分を支えたところ、手首を捻った。,製造業,化学工業,プラスチック製品製造業,100～299人,その他の装置等,用具,その他の用具,動作の反動、無理な動作,51,50代
H25,10,9～10,円筒機にてパーチクルボードの穴開け加工中、誤って回転している刃物に親指が触れた。,製造業,木材・木製品製造業,その他の木材・木製品製造業,～～,動力機械,木材加工用機械,その他の木材加工用機械,切れ、こすれ,41,40代
H25,10,8～9,コンベアで運ばれる鋳造製品をホイストで吊り上げ移動させていた際、製品が落下し、足に当たった。,製造業,鉄鋼業,鋳物業,30～49人,物質、材料,材料,金属材料,飛来、落下,59,50代
H25,10,14～15,工場内麺場麺線をカットする機械にて、くっついた麺を取り除こうとした際、2つある停止ボタンのうち1つの停止ボタンしか押さず、停止確認を怠ったため、手指を挟まれた。,製造業,食料品製造業,その他の食料品製造業,100～299人,動力機械,一般動力機械,食品加工用機械,はさまれ、巻き込まれ,41,40代
H25,10,16～17,ウィンナー燻煙中、ガス器具の不完全燃焼により一酸化炭素が発生し、被災者が過呼吸を引き起こした。,製造業,食料品製造業,肉製品、乳製品製造業,10～29人,物質、材料,危険物、有害物等,有害物,有害物等との接触,30,30代
H25,10,11～12,高速充填機にて上下のフィルム(包装フィルム)が変わる際、左右にフィルムがずれるのを防止する為、しゃがんだ姿勢で上方の小袋を手を入れて見ていたところ、機械が回転し、指を挟まれた。,製造業,食料品製造業,パン、菓子製造業,100～299人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,36,30代
H25,10,13～14,原紙をスパイラル巻にする機械(ラングストン)のベット付近に手を添えていた為、手の平側部を軍手と一緒にベットに巻き込まれ、肘の下まで機械に挟まれ、骨折した。,製造業,パルプ・紙・紙加工品製造業,紙加工品製造業,10～29人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,34,30代
H25,10,11～12,温水修繕工事現場にて、掘削作業の際、バールで土をほぐそうと打ち下ろしたところ、石を弾き、足の甲に当たった。,製造業,電気・ガス・水道業,水道業,50～99人,その他の装置等,人力機械工具等,手工具,飛来、落下,44,40代
H25,10,15～16,鉄板切断加工中、加工品の送り出し作業の際、切断面で手甲側拇指付近に切創を負った。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,物質、材料,材料,金属材料,切れ、こすれ,45,40代
H25,10,9～10,トラックターミナルにて、トラックから降ろされたダンボール箱(ガスメーター入約30kg)を2人でパレットから台車に積み替えている際、腰を痛めた。,製造業,一般機械器具製造業,計量器測定器製造業,10～29人,荷,荷,荷姿の物,動作の反動、無理な動作,35,30代
H25,10,15～16,車両走行中、カーブにて、小雨の為速度を落したところ、スリップし、横転した。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,10～29人,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）,39,30代
H25,10,8～9,工場ラインユニフォームの仕分け工程にある台にぶつかり、台の上に置いていたユニフォームがズレ落ち、支えようと伸ばした手小指先に体重がかかり、手小指先を骨折した。,製造業,その他の製造業,クリーニング業,50～99人,荷,荷,荷姿の物,動作の反動、無理な動作,45,40代
H25,10,12～13,噴射洗浄機内でずれたドラム缶を直そうと噴射洗浄機前洗剤タンクの蓋の上に乗った際、足を滑らせ、洗剤タンク(強アルカリ)に手を入れ、薬品火傷を負った。,製造業,金属製品製造業,その他の金属製品製造業,30～49人,物質、材料,危険物、有害物等,その他の危険物、有害物等,高温・低温の物との接触,38,30代
H25,10,11～12,段ボール印刷機のローラーに付いたインキを雑巾で拭き取る際、手指をローラーに挟まれた。,製造業,パルプ・紙・紙加工品製造業,紙加工品製造業,10～29人,動力機械,一般動力機械,印刷用機械,はさまれ、巻き込まれ,36,30代
H25,10,9～10,プレス作業中、金属部品を加工した際、両手押しボタンを使用せずフートスイッチを使用したところ、手中指の爪を指ごと挟まれた。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,46,40代
H25,10,11～12,鉄板を加工し、清掃用の専用道具を製作するため、矯正機で鉄板のひずみをとる作業中、鉄板に当て金(角棒)を置き、上にVブロックを置いてシリンダーにより圧力を掛けたところ、Vブロックが2つに割れ、一片(1.1kg)が被災者の顔面に当たった。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,1000～9999人,その他の装置等,用具,その他の用具,飛来、落下,23,20代
H25,10,15～16,品物をサンダーで削っていたところ、サンダーの機械で手親指を切った。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,動力機械,金属加工用機械,研削盤、バフ盤,切れ、こすれ,22,20代
H25,10,12～13,小型プレスで鋼材切断作業中、刃に付着した鋼屑を素手で払い落そうと手を入れたところ、下降ストロークで指先を切った。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,57,50代
H25,10,16～17,調理室棟Ａ控室窓に設置されたすだれの取り外し作業中、脚立でバランスを崩し、転落した。,製造業,食料品製造業,その他の食料品製造業,1～9人,その他の装置等,用具,はしご等,墜落、転落,45,40代
H25,10,16～17,荷物(5kg)を運ぶため、階段で降りていたところ、階段を踏み外し前のめりに転倒した。,製造業,その他の製造業,その他の製造業－その他,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,墜落、転落,52,50代
H25,10,12～13,煮物原料室にて、包丁を洗浄している際、誤って手を滑らせ、手人差し指を切傷した。,製造業,食料品製造業,その他の食料品製造業,10～29人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,47,40代
H25,10,13～14,合紙機にて、刷本と厚紙との貼合せ作業後、圧着ローラーに送り出す際、刷本の反りがあり、手で反りを押えた状態で安全ガイドの内まで手を入れた為、手が圧着ローラーに巻き込まれた。,製造業,印刷・製本業,印刷業,50～99人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,47,40代
H25,10,6～7,プレス機でバリ取りをしている際、バリのカスがコードに引っかかっていた為、上からプレス機が手親指の先に落下した。,製造業,非鉄金属製造業,非鉄金属鋳物業,10～29人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,61,60代以上
H25,10,16～17,倒れた線材をホイストで持ち上げ、線材をリフトに掛けた後、リフトで下がろうとしたところ、線材が前に倒れ、被災者に当たった。,製造業,鉄鋼業,その他の鉄鋼業,10～29人,物質、材料,材料,金属材料,激突され,43,40代
H25,10,17～18,シャフトを製造中、コイルスタンドから機械へと流れる間でコイル線(材料)が捻じれた為、機械を作動したまま修正したところ、捻じれ部分に指が挟まり、締め付けられた。,製造業,鉄鋼業,製鉄・製鋼・圧延業,30～49人,物質、材料,材料,金属材料,はさまれ、巻き込まれ,26,20代
H25,10,11～12,積み込み作業後、乗車に向かう際、足を滑らせ、転倒した。,製造業,化学工業,ゴム製品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,38,30代
H25,10,12～13,回転釜の洗浄中、汚染処理の為、溝の蓋を外す際、手中指を挟んだ。,製造業,食料品製造業,その他の食料品製造業,1～9人,その他の装置等,その他の装置、設備,その他の装置、設備,はさまれ、巻き込まれ,45,40代
H25,10,14～15,120t動力プレスにて鉄板(0.8x75x392)の曲げ加工作業中、鉄板の入れ替え作業を実施しようとしたところ、ブレーキレバーの操作が不十分だった為、スライドが下降し、金型に手人差し指と中指を挟まれた。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,動力機械,金属加工用機械,プレス機械,はさまれ、巻き込まれ,28,20代
H25,10,14～15,トイレに行く為、扉の横を通った際、扉のストッパーに躓き、転倒した。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,40,40代
H25,10,12～13,フォークリフトで製品の移動を行っていた際、柱横を通過するタイミングで軽いめまいを起こし、上体がフォークリフトからはみ出した状態となり、柱とフォークリフトに腕を挟まれた。,製造業,化学工業,その他の化学工業,100～299人,物上げ装置、運搬機械,動力運搬機,フォークリフト,はさまれ、巻き込まれ,51,50代
H25,10,16～17,ボーリング機で穴を開ける作業中、材料を押させるクランプを上下させる空気弁を止め、スイッチを切っていた材料をセットした際、クランプの空気弁に触れた為クランプが下がる状態になっていたところ、誤ってスイッチを入れてクランプが下がり、手指を挟まれた。,製造業,家具・装備品製造業,木製家具製造業,10～29人,動力機械,金属加工用機械,ボール盤、フライス盤,はさまれ、巻き込まれ,49,40代
H25,10,11～12,横引きの昇降盤を用いてベニヤ板を加工した際、手親指の腹を切った。,製造業,木材・木製品製造業,その他の木材・木製品製造業,1～9人,動力機械,木材加工用機械,丸のこ盤,切れ、こすれ,59,50代
H25,10,14～15,釜の中に入り、ウエスにトルエンを付け釜の汚れを取る作業をしたところ、気分が悪くなり、架台の上に背中より転倒。釜洗いに使用した水の散水と原料の苛性ソーダが混ざった状態の上に倒れ、火傷を負った。,製造業,化学工業,その他の化学工業,10～29人,物質、材料,危険物、有害物等,有害物,有害物等との接触,59,50代
H25,10,15～16,機械(昇降板)で木材を斜めにカットしている際、木材が落ちそうになった為、木材を抑えようとしたところ、昇降板の刃が手に当たった。,製造業,家具・装備品製造業,木製家具製造業,1～9人,動力機械,木材加工用機械,丸のこ盤,切れ、こすれ,40,40代
H25,10,11～12,旧式のカセット式ボンベ残量チェック作業中、火の点いたカセットボンベを持ち、椅子より立ち上がった際、ボンベの根本よりガスが漏れ出し、引火。火傷を負った。,製造業,電気機械器具製造業,その他の電気機械器具製造業,50～99人,その他,その他の起因物,その他の起因物,高温・低温の物との接触,48,40代
H25,10,13～14,フォークリフトにセットしたパレットにスクラップと共に被災者が乗り、地上1.5m程の高さから地上にあるフレコンに移す際、パレットが濡れていたため、足を滑らせ、足から落下し、骨折した。,製造業,化学工業,その他の化学工業,1～9人,物上げ装置、運搬機械,動力運搬機,フォークリフト,墜落、転落,41,40代
H25,10,20～21,工場内手製品庫内にて、保管コンテナを持ち出す際、4段に積んでいたコンテナがずれ、手で支えたところ、手小指を骨折した。,製造業,食料品製造業,その他の食料品製造業,50～99人,荷,荷,荷姿の物,飛来、落下,42,40代
H25,10,8～9,鋼材をクレーンで吊って積み重ね(30cm)、上に乗り、片付けていた際、バランスを崩し、落下した。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,物質、材料,材料,金属材料,墜落、転落,41,40代
H25,10,10～11,スキッド台を立てた状態から移動させた際、足に落下させ、足甲を骨折した。,製造業,その他の製造業,その他の製造業－その他,1～9人,その他の装置等,用具,その他の用具,崩壊、倒壊,38,30代
H25,10,13～14,プレス機金型交換後、試し打ちした際、雄型(上型)が破損し、微細な金属片が上腕、胸に当たった。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,1000～9999人,動力機械,金属加工用機械,プレス機械,飛来、落下,30,30代
H25,10,15～16,鉄板(1，000x150x18)を手で運ぼうとしたところ、皮手袋の油で手を滑らせ、足甲に鉄板の角を落下させた。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,物質、材料,材料,金属材料,飛来、落下,48,40代
H25,10,17～18,トラックのキャビンエアサス交換作業中、エアーを抜き、ホースを抜いたところ、キャビンが下がり、車本体とキャビンの間に手を挟まれた。,製造業,その他の製造業,自動車整備業,1～9人,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ、巻き込まれ,63,60代以上
H25,10,8～9,敷地内(屋外)にて、歩行中、躓いて転倒した。,製造業,木材・木製品製造業,合板製造業,50～99人,その他,起因物なし,起因物なし,転倒,43,40代
H25,10,11～12,解袋機の振動を和らげるバネを交換する際、チェーンブロックを解袋機上のはりに付けていたところ、解袋機の上から落下し、頭部を裂傷し、鎖骨を骨折した。,製造業,食料品製造業,その他の食料品製造業,30～49人,動力機械,一般動力機械,その他の一般動力機械,墜落、転落,62,60代以上
H25,10,17～18,整備不具合復旧後、起動スイッチを押す為、移動したところ、足元の設備突起物に躓き、転倒し、膝を床に強打した。,製造業,食料品製造業,酒類製造業,100～299人,その他の装置等,その他の装置、設備,その他の装置、設備,転倒,61,60代以上
H25,10,18～19,シャーリング横に積み重ねた端材の中にスケールを落した為、端材を足で抑え、前よりずらし取ろうとしたところ、端材の加重を支えきれず、端材が倒れ、足に当たった。,製造業,金属製品製造業,その他の金属製品製造業,30～49人,物質、材料,材料,金属材料,崩壊、倒壊,60,60代以上
H25,10,21～22,伸線工場に隣接する伸線液槽周辺の整理作業をしていたところ、蓋が開いたままのマンホールに足を踏み外し、転落した。,製造業,非鉄金属製造業,その他の非鉄金属製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落,46,40代
H25,10,10～11,伸線場に鋼線巻き鉄リール30kgをパレットに積み上げる作業中、腰を痛めた。,製造業,非鉄金属製造業,その他の非鉄金属製造業,30～49人,物質、材料,材料,金属材料,動作の反動、無理な動作,54,50代
H25,10,13～14,曲げ機(鉄筋)で鉄筋を加工をしていた際、鉄筋の折り返しに気づかず機械を作動させた為、鉄筋と鉄筋の間に中指を挟んだ。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,動力機械,金属加工用機械,その他の金属加工用機械,はさまれ、巻き込まれ,27,20代
H25,10,15～16,製品を結束していた際、製品と製品の間に手を挟んだ。,製造業,金属製品製造業,めっき業,50～99人,荷,荷,荷姿の物,はさまれ、巻き込まれ,41,40代
H25,10,19～20,機械に生地投入するため、保管場所から生地を両手で持って運んでいる際、足場の段差に躓き、転倒した。,製造業,食料品製造業,パン、菓子製造業,50～99人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,44,40代
H25,10,9～10,鋲螺製品加工自動機で切削加工中、切削切粉を排除しようと手で切粉を持ったところ、回転軸に切り粉が巻き込まれ、切りくずによって手指を負傷した。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,1～9人,物質、材料,材料,金属材料,切れ、こすれ,47,40代
H25,10,20～21,ボールバンで長尺物の材料に穴あけ作業を行っていた際、材料位置を修正しようとしたところ、機械を停止せずに行った為、手がドリルに接触し、巻き込まれた。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,動力機械,金属加工用機械,ボール盤、フライス盤,はさまれ、巻き込まれ,27,20代
H25,10,15～16,NC施盤によるワーク交換(Φ200Ｘ60、12kg)作業をしている際、着脱の確認が不十分であったため、ワークが落下し、手首にワークの角が当たった。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,動力機械,金属加工用機械,旋盤,飛来、落下,32,30代
H25,10,16～17,仕上げ作業中、誤って転倒し、グラインダーを太股に落下させた。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,動力機械,金属加工用機械,研削盤、バフ盤,飛来、落下,21,20代
H25,10,9～10,冷蔵庫の温度等の点検作業中、冷蔵庫扉前に発生する水滴により濡れている床に足を滑らせ、膝を床に打ちつけた。,製造業,食料品製造業,その他の食料品製造業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,55,50代
H25,10,11～12,溶解作業中、溶解(約700℃)に材を入れたところ、材に水分が含まれていた為、爆発し、溶解が飛び散り、手指を火傷した。,製造業,非鉄金属製造業,非鉄金属鋳物業,10～29人,その他の装置等,炉窯等,炉窯,高温・低温の物との接触,42,40代
H25,10,12～13,商品の納入中、張替作業のためシートを引っ張ろうとした際、誤って脚立から落下した。,製造業,繊維工業,その他の繊維工業,30～49人,その他の装置等,用具,はしご等,墜落、転落,36,30代
H25,10,14～15,刃の中間洗浄中、誤って刃で手中指を切った。,製造業,食料品製造業,肉製品、乳製品製造業,50～99人,その他の装置等,人力機械工具等,手工具,切れ、こすれ,43,40代
H25,10,7～8,客先での商品納品作業中、荷捌場のプラットホーム(高さ約1．6m)より地面に落下し、足踵骨を骨折した。,製造業,食料品製造業,その他の食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落,35,30代
H25,10,12～13,倉庫内にて、梯子を登り、3段目のパレットから商品をピッキング中、バランスをくずして約3m下に転落。腰を圧迫骨折した。,製造業,衣服その他の繊維製品製造業,その他の繊維製品製造業,10～29人,その他の装置等,用具,はしご等,墜落、転落,58,50代
H25,10,15～16,工場内で積まれたパレットの上に乗り、積荷に合ったパレットを捜して降す作業をしている際、積まれたパレットの中間に幅が狭かった為、バランスを崩し、床に飛び降りたところ、足首を骨折した。,製造業,金属製品製造業,めっき業,1～9人,その他の装置等,用具,その他の用具,墜落、転落,56,50代
H25,10,11～12,塗装設備洗浄ブース内にて、ホイストで部品を吊り、洗浄作業後、作業車で吊フックの角度を元に戻す為、部品を手で押したところ、吊りフックから部品(約110kg)が外れ、落下し、足甲部に当たった。,製造業,輸送用機械等製造業,その他の輸送用機械等製造業,100～299人,その他の装置等,用具,玉掛用具,飛来、落下,31,30代
H25,10,2～3,軸受部品の保持器を上下治具で挟込む溶接作業中、保持器に汚れがあった為、手で溶接部分を拭き取ろうとした際、稼働スイッチであるフットスイッチを誤って踏んだ為、上型治具が下降し、溶接部分と上型治具の間に手中指先端を挟んだ。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,1000～9999人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,44,40代
H25,10,10～11,炉メンテナンス終了後、トレーを搬送装置に乗せようと持ち上げた為、腰を痛めた。(約38kg程),製造業,輸送用機械等製造業,自動車・同付属品製造業,100～299人,荷,荷,荷姿の物,動作の反動、無理な動作,39,30代
H25,10,14～15,商品のアソート作業中、簡易的に作製された机から角材(9．5mx5m)が太ももに当たり、親指上に落下し、骨折した。,製造業,印刷・製本業,印刷業,100～299人,物質、材料,材料,木材、竹材,飛来、落下,43,40代
H25,10,10～11,屋内倉庫にて、ウォーキーリフトを前進させようとしたところ、側面が立てかけてあったパレットに接触しそうになった為、後進した際、つま先に接触し、足親指を骨折した。,製造業,化学工業,プラスチック製品製造業,500～999人,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,49,40代
H25,10,8～9,鍋に入った大量の出汁を移動させる際、足に出汁がこぼれ、火傷を負った。,製造業,食料品製造業,その他の食料品製造業,10～29人,環境等,環境等,高温・低温環境,高温・低温の物との接触,41,40代
H25,10,16～17,タンク(重量約960kg)をクレーンにて降ろした際、スリング(吊り具)が緩み、タンクが転倒。転倒したタンクと直近設置物との間に足を挟まれた。,製造業,電気機械器具製造業,その他の電気機械器具製造業,500～999人,物上げ装置、運搬機械,動力クレーン等,クレーン,はさまれ、巻き込まれ,32,30代
H25,10,9～10,スプライス(鋼板1枚36mmx150mmx790mm、約33kg)を結束された梱包の中から取り出す際、結束バンドを切り外したところ、バランスが崩れ、被災者側に倒れ、足に当たった。,製造業,金属製品製造業,その他の金属製品製造業,50～99人,物質、材料,材料,金属材料,激突され,61,60代以上
H25,10,15～16,フォークリフトより降車した際、コンクリートとアスファルトの間の段差に躓き、足首を骨折した。,製造業,一般機械器具製造業,機械(精密機械を除く)器具製造業,100～299人,物上げ装置、運搬機械,動力運搬機,フォークリフト,動作の反動、無理な動作,64,60代以上
H25,10,11～12,移動台車に積載した状態の大型変圧器タンク側面の吹付塗装作業中、脚立から降りようとした際、足を踏み外し、2.5m下の床面に落下した。,製造業,電気機械器具製造業,重電機製造業,50～99人,その他の装置等,用具,はしご等,墜落、転落,37,30代
H25,10,13～14,のり貼り機のダンボール排出ローラー付近の不具合を機械が動いたまま修正しようとした為、ダンボール排出用ローラーに手が巻き込まれた。,製造業,パルプ・紙・紙加工品製造業,紙加工品製造業,1～9人,動力機械,一般動力機械,その他の一般動力機械,はさまれ、巻き込まれ,29,20代
H25,10,17～18,鋳造中、金型冷却水が水蒸気となり、飛散し、火傷を負った。,製造業,非鉄金属製造業,非鉄金属精錬・圧延業,1～9人,環境等,環境等,高温・低温環境,高温・低温の物との接触,20,20代
H25,10,9～10,リフトのパンク修理中、エアーを入れていたところ、ホイルリングが跳ね、腕を骨折した。,製造業,その他の製造業,自動車整備業,1～9人,その他の装置等,その他の装置、設備,その他の装置、設備,飛来、落下,36,30代
