年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢,年代
H28,10,11～12,港の岸壁で外国船からのウニ荷下ろし中、クレーンで吊っているウニカゴを下ろす際、腰を強打し負傷した。,製造業,食料品製造業,水産食料品製造業,1～9人,物上げ装置、運搬機械,動力クレーン等,揚貨装置,激突され,23,20代
H28,10,12～13,昼休憩後の作業場への入室時、強風で閉まった鉄製のドアに右手中指を挟み負傷。,製造業,化学工業,プラスチック製品製造業,30～49人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,はさまれ、巻き込まれ,46,40代
H28,10,14～15,かまぼこ製造工場で大きなタンクを洗っていたところ、タンクのバランスが崩れ、押さえようとした時に、タンクと台に挟まって左手の親指付け根を負傷した。,製造業,食料品製造業,水産食料品製造業,30～49人,荷,荷,荷姿の物,はさまれ、巻き込まれ,63,60代以上
H28,10,16～17,遠心機室で遠心ボウルの組み立て作業時に、手袋を着用しロックリングに締めつける工具をセットしようとした際、手が滑り、高位置から工具を落としそうになった。反射的に工具を受け止めようとしたところ、工具とロックリングの間に中指、薬指、小指の三本が挟まった。,製造業,化学工業,医薬品製造業,100～299人,その他の装置等,人力機械工具等,手工具,はさまれ、巻き込まれ,47,40代
H28,10,8～9,工場において、発注のリフォーム工事に使用する木材加工の過程において、手押しカンナ盤を使用し、木材を削っていたところ、誤って回転する刃に左手中指を接触させ創傷を負った。,製造業,木材・木製品製造業,その他の木材・木製品製造業,1～9人,動力機械,木材加工用機械,かんな盤,切れ、こすれ,42,40代
H28,10,10～11,工場内を移動中、階段を下りている時、足を踏み外し、滑り落ち腰を打撲。,製造業,食料品製造業,その他の食料品製造業,100～299人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,墜落、転落,56,50代
H28,10,15～16,惣菜スライス室で冷凍スライサーの洗浄作業中、丸刀に付着していた残渣を取り除く際に、刀部分に接触してしまった。,製造業,食料品製造業,肉製品、乳製品製造業,50～99人,動力機械,一般動力機械,食品加工用機械,切れ、こすれ,47,40代
H28,10,16～17,工場内にてテントを加工する作業中、テントを広げる為、テントを後ろの方へ引っ張ったところ、後ろにあった商品に気付かず、商品につまずき転倒し、左手を付き、左手首を負傷した。,製造業,化学工業,化学肥料製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,61,60代以上
H28,10,16～17,工場の製品保管庫内において、棚の上の製品を整理しようと脚立で上段にあがろうとした際、バランスを崩し足を滑らせ、左足踵から落下し負傷した。,製造業,食料品製造業,その他の食料品製造業,30～49人,その他の装置等,用具,はしご等,墜落、転落,69,60代以上
H28,10,5～6,チーズ製造室内の掃除中、タンク付属のホースが台車下で絡まっていた為、台車を持ち上げてホースを取り出そうとした際に台車からタンクが落ちた。そのタンクを台車に戻す為、2人でタンクを持ち上げた際にタンクが滑り、誤って左手人差し指を切ってしまった。,製造業,食料品製造業,肉製品、乳製品製造業,100～299人,その他の装置等,その他の装置、設備,その他の装置、設備,切れ、こすれ,46,40代
